Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Exon region start (bp)	Exon region end (bp)	CDS start	CDS end	Exon stable ID	Transcript start (bp)	Transcript end (bp)	5' UTR start	5' UTR end	3' UTR start	3' UTR end	Transcription start site (TSS)	Gene start (bp)	Gene end (bp)	Exon rank in transcript	cDNA coding start	cDNA coding end	Genomic coding start	Genomic coding end
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23787011	23787262	1	93	ENSE00001929669	23787011	23834501	23787011	23787169			23787011	23786931	23838009	1	160	252	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000263121	ENST00000263121.12	23834141	23834501	981	1020	ENSE00003815249	23787011	23834501			23834181	23834501	23787011	23786931	23838009	8	1140	1179	23834141	23834180
ENSG00000099956	ENSG00000099956.20	ENST00000407082	ENST00000407082.4	23791756	23791867	94	205	ENSE00001380326	23787017	23803401					23787017	23786931	23838009	2	247	358	23791756	23791867
ENSG00000099956	ENSG00000099956.20	ENST00000407082	ENST00000407082.4	23793559	23793688	206	335	ENSE00000651413	23787017	23803401					23787017	23786931	23838009	3	359	488	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000407082	ENST00000407082.4	23787017	23787262	1	93	ENSE00003825625	23787017	23803401	23787017	23787169			23787017	23786931	23838009	1	154	246	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000407082	ENST00000407082.4	23803295	23803401	336	442	ENSE00003823791	23787017	23803401					23787017	23786931	23838009	4	489	595	23803295	23803401
ENSG00000099956	ENSG00000099956.20	ENST00000417137	ENST00000417137.6	23793559	23793688	233	362	ENSE00000651413	23787027	23816833					23787027	23786931	23838009	3	376	505	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000417137	ENST00000417137.6	23803295	23803422	555	682	ENSE00003591896	23787027	23816833					23787027	23786931	23838009	5	698	825	23803295	23803422
ENSG00000099956	ENSG00000099956.20	ENST00000417137	ENST00000417137.6	23800944	23801135	363	554	ENSE00001385887	23787027	23816833					23787027	23786931	23838009	4	506	697	23800944	23801135
ENSG00000099956	ENSG00000099956.20	ENST00000417137	ENST00000417137.6	23791756	23791894	94	232	ENSE00001224609	23787027	23816833					23787027	23786931	23838009	2	237	375	23791756	23791894
ENSG00000099956	ENSG00000099956.20	ENST00000417137	ENST00000417137.6	23787027	23787262	1	93	ENSE00003823242	23787027	23816833	23787027	23787169			23787027	23786931	23838009	1	144	236	23787170	23787262
ENSG00000099956	ENSG00000099956.20	ENST00000417137	ENST00000417137.6	23816770	23816833	683	746	ENSE00003826597	23787027	23816833					23787027	23786931	23838009	6	826	889	23816770	23816833
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23793559	23793688			ENSE00001828615	23787182	23834270					23787182	23786931	23838009	3				
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23825225	23825415			ENSE00001928851	23787182	23834270					23787182	23786931	23838009	6				
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23833572	23833703			ENSE00003821951	23787182	23834270					23787182	23786931	23838009	7				
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23787182	23787262			ENSE00003831032	23787182	23834270					23787182	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23791756	23791894			ENSE00003825669	23787182	23834270					23787182	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23800944	23803422			ENSE00003825812	23787182	23834270					23787182	23786931	23838009	4				
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23816625	23816936			ENSE00001919098	23787182	23834270					23787182	23786931	23838009	5				
ENSG00000099956	ENSG00000099956.20	ENST00000646723	ENST00000646723.1	23834141	23834270			ENSE00001870443	23787182	23834270					23787182	23786931	23838009	8				
ENSG00000099956	ENSG00000099956.20	ENST00000643421	ENST00000643421.1	23793559	23793688			ENSE00001828615	23787202	23804383					23787202	23786931	23838009	3				
ENSG00000099956	ENSG00000099956.20	ENST00000643421	ENST00000643421.1	23791756	23791894			ENSE00003825669	23787202	23804383					23787202	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000643421	ENST00000643421.1	23787202	23787262			ENSE00003824231	23787202	23804383					23787202	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000643421	ENST00000643421.1	23800944	23801081			ENSE00003818106	23787202	23804383					23787202	23786931	23838009	4				
ENSG00000099956	ENSG00000099956.20	ENST00000643421	ENST00000643421.1	23803295	23804383			ENSE00003822613	23787202	23804383					23787202	23786931	23838009	5				
ENSG00000099956	ENSG00000099956.20	ENST00000646911	ENST00000646911.1	23793559	23793688			ENSE00001828615	23787258	23826248					23787258	23786931	23838009	3				
ENSG00000099956	ENSG00000099956.20	ENST00000646911	ENST00000646911.1	23816770	23816936			ENSE00003824436	23787258	23826248					23787258	23786931	23838009	6				
ENSG00000099956	ENSG00000099956.20	ENST00000646911	ENST00000646911.1	23803295	23803422			ENSE00003814413	23787258	23826248					23787258	23786931	23838009	5				
ENSG00000099956	ENSG00000099956.20	ENST00000646911	ENST00000646911.1	23791756	23791894			ENSE00003825669	23787258	23826248					23787258	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000646911	ENST00000646911.1	23800944	23801081			ENSE00003818106	23787258	23826248					23787258	23786931	23838009	4				
ENSG00000099956	ENSG00000099956.20	ENST00000646911	ENST00000646911.1	23787258	23787262			ENSE00003823435	23787258	23826248					23787258	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000646911	ENST00000646911.1	23825225	23826248			ENSE00003820454	23787258	23826248					23787258	23786931	23838009	7				
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23793559	23793688	68	197	ENSE00000651413	23791801	23834358					23791801	23786931	23838009	2	68	197	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23816770	23816936			ENSE00003824436	23791801	23834358			23816770	23816936	23791801	23786931	23838009	5				
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23825225	23825415			ENSE00001928851	23791801	23834358			23825225	23825415	23791801	23786931	23838009	6				
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23833572	23833703			ENSE00003821951	23791801	23834358			23833572	23833703	23791801	23786931	23838009	7				
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23800944	23801964	198	651	ENSE00003828016	23791801	23834358			23801398	23801964	23791801	23786931	23838009	3	198	651	23800944	23801397
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23803295	23803422			ENSE00003814413	23791801	23834358			23803295	23803422	23791801	23786931	23838009	4				
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23791801	23791867	1	67	ENSE00003829908	23791801	23834358					23791801	23786931	23838009	1	1	67	23791801	23791867
ENSG00000099956	ENSG00000099956.20	ENST00000644462	ENST00000644462.1	23834141	23834358			ENSE00003824285	23791801	23834358			23834141	23834358	23791801	23786931	23838009	8				
ENSG00000099956	ENSG00000099956.20	ENST00000634926	ENST00000634926.1	23793559	23793688	85	214	ENSE00000651413	23791811	23803322					23791811	23786931	23838009	2	85	214	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000634926	ENST00000634926.1	23791811	23791894	1	84	ENSE00003790971	23791811	23803322					23791811	23786931	23838009	1	1	84	23791811	23791894
ENSG00000099956	ENSG00000099956.20	ENST00000634926	ENST00000634926.1	23800944	23800970	215	241	ENSE00003786300	23791811	23803322					23791811	23786931	23838009	3	215	241	23800944	23800970
ENSG00000099956	ENSG00000099956.20	ENST00000634926	ENST00000634926.1	23803295	23803322	242	269	ENSE00003588634	23791811	23803322					23791811	23786931	23838009	4	242	269	23803295	23803322
ENSG00000099956	ENSG00000099956.20	ENST00000635578	ENST00000635578.1	23793559	23793688	58	187	ENSE00000651413	23791811	23803322					23791811	23786931	23838009	2	58	187	23793559	23793688
ENSG00000099956	ENSG00000099956.20	ENST00000635578	ENST00000635578.1	23800944	23800970	188	214	ENSE00003786300	23791811	23803322					23791811	23786931	23838009	3	188	214	23800944	23800970
ENSG00000099956	ENSG00000099956.20	ENST00000635578	ENST00000635578.1	23803295	23803322	215	242	ENSE00003588634	23791811	23803322					23791811	23786931	23838009	4	215	242	23803295	23803322
ENSG00000099956	ENSG00000099956.20	ENST00000635578	ENST00000635578.1	23791811	23791867	1	57	ENSE00003788843	23791811	23803322					23791811	23786931	23838009	1	1	57	23791811	23791867
ENSG00000099956	ENSG00000099956.20	ENST00000642727	ENST00000642727.1	23801299	23801964	1	99	ENSE00003824364	23801299	23803629			23801398	23801964	23801299	23786931	23838009	1	1	99	23801299	23801397
ENSG00000099956	ENSG00000099956.20	ENST00000642727	ENST00000642727.1	23803295	23803629			ENSE00003815000	23801299	23803629			23803295	23803629	23801299	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000644467	ENST00000644467.1	23802001	23803422			ENSE00003828812	23802001	23818669					23802001	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000644467	ENST00000644467.1	23816770	23818669			ENSE00003822776	23802001	23818669					23802001	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000642275	ENST00000642275.1	23816770	23816936			ENSE00003824436	23802547	23818580					23802547	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000642275	ENST00000642275.1	23802547	23803422			ENSE00003816092	23802547	23818580					23802547	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000642275	ENST00000642275.1	23818339	23818580			ENSE00003829473	23802547	23818580					23802547	23786931	23838009	3				
ENSG00000099956	ENSG00000099956.20	ENST00000477836	ENST00000477836.2	23825225	23825415			ENSE00001928851	23814991	23833587					23814991	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000477836	ENST00000477836.2	23814991	23816936			ENSE00003825502	23814991	23833587					23814991	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000477836	ENST00000477836.2	23833572	23833587			ENSE00003821896	23814991	23833587					23814991	23786931	23838009	3				
ENSG00000099956	ENSG00000099956.20	ENST00000645799	ENST00000645799.1	23833572	23833703			ENSE00003821951	23823108	23834353					23823108	23786931	23838009	2				
ENSG00000099956	ENSG00000099956.20	ENST00000645799	ENST00000645799.1	23823108	23825415			ENSE00003823656	23823108	23834353					23823108	23786931	23838009	1				
ENSG00000099956	ENSG00000099956.20	ENST00000645799	ENST00000645799.1	23834141	23834353			ENSE00003830708	23823108	23834353					23823108	23786931	23838009	3				
